Datetime,index,Open,High,Low,Close,Volume
2025-06-02 09:05:00-04:00,129,104164.8,104172.9,103966.9,103984.4,591.942
2025-06-02 09:00:00-04:00,130,104156.0,104221.2,104156.0,104164.7,573.19
2025-06-02 08:55:00-04:00,131,104092.6,104158.4,104080.4,104156.0,337.711
2025-06-02 08:50:00-04:00,132,104131.1,104131.1,104050.0,104092.7,315.738
2025-06-02 08:45:00-04:00,133,104174.7,104190.9,104107.0,104131.1,748.837
2025-06-02 08:40:00-04:00,134,104100.1,104236.9,104080.0,104174.8,975.651
2025-06-02 08:35:00-04:00,135,104049.6,104111.0,104003.6,104100.1,716.774
2025-06-02 08:30:00-04:00,136,104004.7,104084.1,103977.9,104049.5,887.65
2025-06-02 08:25:00-04:00,137,103840.3,104026.8,103818.9,104004.7,693.635
2025-06-02 08:20:00-04:00,138,103862.1,103880.0,103810.0,103840.4,382.14
2025-06-02 08:15:00-04:00,139,103930.5,103930.5,103805.0,103862.2,439.641
2025-06-02 08:10:00-04:00,140,103872.5,103930.6,103859.9,103930.5,406.727
2025-06-02 08:05:00-04:00,141,103985.9,104007.2,103832.5,103872.4,1321.739
2025-06-02 08:00:00-04:00,142,104000.1,104081.7,103970.1,103985.9,641.008
2025-06-02 07:55:00-04:00,143,104050.0,104071.2,103950.0,104000.0,258.474
2025-06-02 07:50:00-04:00,144,104072.0,104077.3,103950.7,104050.0,430.656
2025-06-02 07:45:00-04:00,145,103971.6,104141.6,103867.8,104072.1,1309.971
2025-06-02 07:40:00-04:00,146,104180.1,104205.2,103922.8,103971.6,1693.373
2025-06-02 07:35:00-04:00,147,104240.0,104284.5,104120.0,104180.0,640.803
2025-06-02 07:30:00-04:00,148,104213.6,104294.4,104205.0,104240.0,245.708
2025-06-02 07:25:00-04:00,149,104205.9,104283.0,104205.8,104213.6,523.017
2025-06-02 07:20:00-04:00,150,104239.2,104243.5,104171.9,104205.8,285.968
2025-06-02 07:15:00-04:00,151,104301.7,104335.0,104233.9,104239.2,315.658
2025-06-02 07:10:00-04:00,152,104232.0,104448.6,104232.0,104301.8,732.591
2025-06-02 07:05:00-04:00,153,104290.0,104315.0,104150.2,104232.1,722.344
2025-06-02 07:00:00-04:00,154,104316.7,104348.5,104267.2,104290.0,544.854
2025-06-02 06:55:00-04:00,155,104400.0,104400.0,104309.9,104316.7,405.0
2025-06-02 06:50:00-04:00,156,104300.0,104400.0,104257.1,104400.0,459.618
2025-06-02 06:45:00-04:00,157,104259.9,104327.7,104230.7,104300.0,373.125
2025-06-02 06:40:00-04:00,158,104344.2,104383.5,104255.5,104260.0,286.109
2025-06-02 06:35:00-04:00,159,104283.9,104350.0,104188.8,104344.2,609.27
2025-06-02 06:30:00-04:00,160,104330.0,104397.9,104222.5,104283.9,777.287
2025-06-02 06:25:00-04:00,161,104263.6,104411.0,104263.5,104330.1,496.913
2025-06-02 06:20:00-04:00,162,104340.1,104350.0,104253.0,104263.5,700.805
2025-06-02 06:15:00-04:00,163,104585.5,104585.5,104300.0,104340.1,1153.799
2025-06-02 06:10:00-04:00,164,104563.5,104590.9,104515.4,104585.5,460.921
2025-06-02 06:05:00-04:00,165,104426.3,104618.2,104355.2,104563.5,955.568
2025-06-02 06:00:00-04:00,166,104530.4,104579.3,104400.0,104426.2,764.474
2025-06-02 05:55:00-04:00,167,104513.7,104566.0,104493.1,104530.5,549.728
2025-06-02 05:50:00-04:00,168,104545.2,104545.2,104420.0,104513.7,696.085
2025-06-02 05:45:00-04:00,169,104556.2,104580.6,104427.2,104545.2,1344.417
